username,email,password
santa_claus,bigman@shefesh.com,f1267830a78c0b59acc06b05694b2e28
mommy_mistletoe,mmtoe@shefesh.com,402223cb4df4c5050a38043d38b1372b
arnold_schwarzenegger,terminator@shefesh.com,78a6d0e6c73a29ef6d07d56f32f67b30
johnfortnite_kennedy,jayfkay@shefesh.com,bc808149a93bc7050c3c6c4b7a5a0c97
john_richardson,john@keepingit.online,aa4e356d1509f1c1f53e0191601cde72
naughty_elf,notty@shefesh.com,6aff5ae0718de8945a3f71ba4d1ca76f
felix_navidad,felixnav@shefesh.com,57e9eb182943223b0b4e7f17c5e4cb6e
jessica_claus,mrsclaus@shefesh.com,15bc4f3ba871b2fa651363dcddfb27d9
myron_larabee,mailman@shefesh.com,a60c0662c54bde0301d9aa2ad86203df
test_test,test@mail.com,5a105e8b9d40e1329780d62ea2265d8a (test1)

